id,price,dist_navy_pier_miles,is_landmark_proximate,transit_north_premium,is_premium_transit_hub,shoreline_gravity,dist_to_nearest_beach_miles,crime_density_total,nb_homicides_half_mile
45267441,50.0,4.7843,0,0.092,0.532,0.2185,4.7544,188.3615,0
45267938,39.0,4.7559,0,0.0934,0.5375,0.2168,4.6869,188.3615,1
45301793,82.0,9.9852,0,0.0706,0.0,0.1155,8.5886,86.1152,0
45304453,78.0,10.0526,0,0.0705,0.0,0.1155,8.6422,86.1152,0
45304613,83.0,9.9572,0,0.0712,0.0,0.1169,8.541,86.1152,0
45328855,86.0,5.3613,0,0.1218,0.0,0.2724,3.6539,159.7822,0
45329300,367.0,5.6717,0,0.1151,0.0,0.2389,4.0372,226.8979,0
45334247,96.0,3.3676,1,0.1401,0.6118,0.2787,2.9249,383.6329,0
45337459,203.0,4.968,0,0.0764,0.4561,0.4781,2.6487,446.6997,0
45362058,447.0,8.8311,0,0.0311,0.3061,0.2594,2.8575,382.9801,2
45368483,38.0,8.9792,0,0.0923,0.0,0.2466,7.1046,90.0343,0
45370544,304.0,3.7602,0,0.1383,0.0,0.2613,2.8984,314.0505,1
45401270,,9.2589,0,0.0331,0.0,0.1387,6.1923,301.8195,1
45413453,,7.8899,0,0.0997,0.0,0.2723,6.0188,160.9753,0
45423930,47.0,8.9838,0,0.0922,0.0,0.2445,7.1104,90.0343,0
45453685,143.0,3.9563,0,0.1113,0.5517,0.2622,3.966,188.3615,0
45463808,193.0,1.4931,1,0.2635,0.6568,0.6174,0.8518,842.8006,1
45465696,139.0,4.332,0,0.1487,0.793,0.6224,2.4419,365.3628,0
45487005,13.0,5.2895,0,0.1156,0.7273,0.22,3.9009,258.2845,0
45493080,106.0,6.708,0,0.0884,0.0,0.1532,5.6943,354.858,0
45494623,169.0,2.3392,0,0.2142,0.7151,0.7039,0.6095,253.4784,0
45495441,80.0,4.5069,0,0.1408,0.7751,0.3906,2.6841,365.3628,0
45496471,,6.6272,0,0.0514,0.3919,0.6013,0.7507,390.6212,0
45504982,124.0,6.0757,0,0.1014,0.0,0.1818,4.8048,258.2845,1
45512087,132.0,4.332,0,0.1487,0.793,0.6224,2.4419,365.3628,0
45515581,106.0,4.297,1,0.0914,0.484,0.4725,3.3932,413.2855,0
45546582,146.0,3.7654,0,0.1394,0.0,0.2641,2.8634,314.0505,1
45564076,784.0,8.4979,0,0.1011,0.9607,0.877,6.6645,402.4574,0
45565102,69.0,9.0983,0,0.0974,0.9832,0.8592,7.2659,402.4574,0
45565646,25.0,8.9549,0,0.0303,0.3015,0.4292,2.0453,611.3177,2
45609760,275.0,10.0923,0,0.0778,0.8626,0.1397,8.4111,90.2514,0
45638499,750.0,6.9859,0,0.1107,0.0,0.4473,5.0973,329.1328,0
45649212,126.0,4.332,0,0.1487,0.793,0.6224,2.4419,365.3628,0
45686609,71.0,6.6554,0,0.1006,0.7701,0.1906,5.1008,226.8979,0
45704307,,7.1502,0,0.0911,0.7427,0.1602,5.7763,218.0524,0
45704710,112.0,4.5369,0,0.1059,0.5865,0.2113,4.1248,383.6329,3
45712121,110.0,3.5562,0,0.1678,0.0,0.6723,1.6668,365.3628,0
45768095,72.0,2.7783,1,0.1582,0.5976,0.3427,2.6429,383.6329,1
45774105,50.0,12.4485,0,0.0669,0.8991,0.1106,10.7894,52.5755,0
